月度,城市名称,平均相对湿度(%),平均温度（摄氏度）,降水量（毫米）,日照时数（小时）
2003-09-01,哈尔滨市,68.0,15.9,64.4,187.0
2003-10-01,哈尔滨市,62.0,7.3,35.8,162.0
2003-11-01,哈尔滨市,63.0,-5.3,17.1,133.0
2003-12-01,哈尔滨市,78.0,-13.1,3.9,104.0
2004-01-01,哈尔滨市,68.0,-16.0,2.5,119.7
2004-02-01,哈尔滨市,69.0,-10.7,,120.8
2004-03-01,哈尔滨市,46.0,-2.0,12.4,240.6
2004-04-01,哈尔滨市,40.0,7.7,6.1,219.4
2004-05-01,哈尔滨市,46.0,15.6,55.1,225.6
2004-06-01,哈尔滨市,45.0,23.4,68.2,296.4
2004-07-01,哈尔滨市,73.0,22.8,163.0,227.2
2004-08-01,哈尔滨市,69.0,21.7,105.8,267.7
2004-09-01,哈尔滨市,64.0,16.6,46.1,221.1
2004-10-01,哈尔滨市,55.0,8.7,9.6,201.5
2004-11-01,哈尔滨市,66.0,-1.7,31.2,128.7
2004-12-01,哈尔滨市,70.0,-16.0,20.7,94.7
2005-01-01,哈尔滨市,72.0,-16.4,8.2,77.5
2005-02-01,哈尔滨市,65.0,-16.7,1.0,148.5
2005-03-01,哈尔滨市,49.0,-4.0,3.3,245.4
2005-04-01,哈尔滨市,54.0,7.7,61.3,162.0
2005-05-01,哈尔滨市,48.0,14.4,18.1,213.7
2005-06-01,哈尔滨市,66.0,21.7,117.6,234.7
2005-07-01,哈尔滨市,79.0,22.8,161.8,155.1
2005-08-01,哈尔滨市,74.0,22.3,57.6,201.8
2005-09-01,哈尔滨市,66.0,16.3,44.7,212.3
2005-10-01,哈尔滨市,51.0,7.7,8.8,215.4
2005-11-01,哈尔滨市,55.0,-2.3,15.6,159.7
2005-12-01,哈尔滨市,66.0,-16.7,9.9,107.9
2006-01-01,哈尔滨市,64.0,-17.7,6.4,111.4
2006-02-01,哈尔滨市,54.0,-12.6,0.8,153.8
2006-03-01,哈尔滨市,45.0,-2.8,4.0,180.7
2006-04-01,哈尔滨市,39.0,5.9,8.8,176.7
2006-05-01,哈尔滨市,40.0,17.1,8.6,261.7
2006-06-01,哈尔滨市,67.0,19.9,141.8,192.7
2006-07-01,哈尔滨市,69.0,23.4,169.5,215.2
2006-08-01,哈尔滨市,70.0,23.1,35.0,222.4
2006-09-01,哈尔滨市,64.0,16.2,68.0,242.7
2006-10-01,哈尔滨市,55.0,7.4,31.7,213.2
2006-11-01,哈尔滨市,56.0,-4.5,12.3,141.4
2006-12-01,哈尔滨市,63.0,-12.1,1.0,116.0
2007-01-01,哈尔滨市,65.0,-11.5,7.3,117.0
2007-02-01,哈尔滨市,59.0,-7.0,16.0,173.5
2007-03-01,哈尔滨市,57.0,-3.2,40.2,184.8
2007-04-01,哈尔滨市,52.0,7.1,12.4,226.6
2007-05-01,哈尔滨市,57.0,14.9,87.9,178.1
2007-06-01,哈尔滨市,48.0,23.7,74.9,270.0
2007-07-01,哈尔滨市,64.0,23.3,68.7,263.6
2007-08-01,哈尔滨市,68.0,22.7,53.2,236.0
2007-09-01,哈尔滨市,64.0,16.7,62.7,205.8
2007-10-01,哈尔滨市,51.0,7.5,9.5,232.4
2007-11-01,哈尔滨市,50.0,-3.8,2.7,181.8
2007-12-01,哈尔滨市,62.0,-10.6,8.6,89.6
2008-01-01,哈尔滨市,61.0,-17.6,,177.7
2008-02-01,哈尔滨市,52.0,-10.5,,184.6
2008-03-01,哈尔滨市,51.0,2.7,21.8,198.7
2008-04-01,哈尔滨市,43.0,11.3,31.3,203.8
2008-05-01,哈尔滨市,57.0,14.4,71.3,230.6
2008-06-01,哈尔滨市,58.0,22.5,57.4,228.0
2008-07-01,哈尔滨市,76.0,24.4,94.8,196.6
2008-08-01,哈尔滨市,67.0,23.2,46.1,234.5
2008-09-01,哈尔滨市,59.0,16.4,80.4,250.7
2008-10-01,哈尔滨市,59.0,8.3,18.0,177.8
2008-11-01,哈尔滨市,66.0,-4.4,9.3,132.7
2008-12-01,哈尔滨市,66.0,-11.6,8.6,122.1
2009-01-01,哈尔滨市,73.0,-16.0,6.8,98.3
2009-02-01,哈尔滨市,64.0,-11.5,4.0,147.0
2009-03-01,哈尔滨市,62.0,-3.9,25.8,207.1
2009-04-01,哈尔滨市,46.0,9.7,34.4,220.9
2009-05-01,哈尔滨市,36.0,18.4,28.0,277.4
2009-06-01,哈尔滨市,71.0,18.9,178.7,173.6
2009-07-01,哈尔滨市,75.0,22.6,106.1,210.2
2009-08-01,哈尔滨市,77.0,22.2,66.9,237.3
2009-09-01,哈尔滨市,69.0,15.6,37.2,221.0
2009-10-01,哈尔滨市,65.0,7.1,24.4,196.6
2009-11-01,哈尔滨市,68.0,-7.0,10.4,136.4
2009-12-01,哈尔滨市,75.0,-16.7,11.4,83.1
2010-01-01,哈尔滨市,74.0,-17.1,4.6,105.0
2010-02-01,哈尔滨市,69.0,-15.5,17.6,157.0
2010-03-01,哈尔滨市,70.0,-7.2,26.8,177.1
2010-04-01,哈尔滨市,63.0,4.0,44.4,195.1
2010-05-01,哈尔滨市,68.0,16.0,115.6,198.1
2010-06-01,哈尔滨市,55.0,25.5,68.3,287.4
2010-07-01,哈尔滨市,83.0,23.4,184.7,178.7
2010-08-01,哈尔滨市,81.0,22.0,57.8,203.1
2010-09-01,哈尔滨市,65.0,16.5,16.5,264.5
2010-10-01,哈尔滨市,66.0,6.4,13.9,176.8
2010-11-01,哈尔滨市,72.0,-3.6,22.2,133.4
2010-12-01,哈尔滨市,79.0,-16.3,18.9,75.9
2011-01-01,哈尔滨市,76.0,-20.9,3.3,91.3
2011-02-01,哈尔滨市,71.0,-11.6,4.4,145.4
2011-03-01,哈尔滨市,62.0,-3.1,5.7,245.8
2011-04-01,哈尔滨市,50.0,7.6,26.9,235.9
2011-05-01,哈尔滨市,65.0,14.8,79.4,196.4
2011-06-01,哈尔滨市,66.0,21.6,41.3,231.3
2011-07-01,哈尔滨市,80.0,24.5,143.3,196.9
2011-08-01,哈尔滨市,78.0,22.7,80.9,238.9
2011-09-01,哈尔滨市,62.0,15.0,29.3,249.0
2011-10-01,哈尔滨市,66.0,8.9,24.8,178.6
2011-11-01,哈尔滨市,65.0,-3.5,11.9,152.2
2011-12-01,哈尔滨市,64.0,-14.1,0.8,120.9
2012-01-01,哈尔滨市,64.0,-18.3,,125.9
2012-02-01,哈尔滨市,51.0,-12.4,1.7,178.9
2012-03-01,哈尔滨市,59.0,-3.3,19.9,176.3
2012-04-01,哈尔滨市,47.0,7.8,38.1,183.0
2012-05-01,哈尔滨市,54.0,16.4,28.8,230.5
2012-06-01,哈尔滨市,74.0,21.3,154.7,167.5
2012-07-01,哈尔滨市,77.0,23.9,129.9,135.7
2012-08-01,哈尔滨市,75.0,21.8,214.7,203.8
2012-09-01,哈尔滨市,79.0,16.4,81.9,155.8
2012-10-01,哈尔滨市,68.0,6.4,25.3,152.5
2012-11-01,哈尔滨市,81.0,-5.2,32.1,37.3
2012-12-01,哈尔滨市,77.0,-19.4,13.7,26.6
2013-01-01,哈尔滨市,71.0,-21.1,2.1,94.1
2013-02-01,哈尔滨市,67.0,-16.4,16.5,166.5
2013-03-01,哈尔滨市,67.0,-7.4,8.8,218.9
2013-04-01,哈尔滨市,59.0,4.4,10.8,202.3
2013-05-01,哈尔滨市,54.0,17.9,73.5,240.7
2013-06-01,哈尔滨市,67.0,21.4,86.4,151.7
2013-07-01,哈尔滨市,76.0,23.9,198.0,195.1
2013-08-01,哈尔滨市,76.0,22.5,125.7,163.7
2013-09-01,哈尔滨市,64.0,15.8,31.5,230.1
2013-10-01,哈尔滨市,68.0,7.0,58.2,158.5
2013-11-01,哈尔滨市,69.0,-2.6,18.3,106.2
2013-12-01,哈尔滨市,76.0,-14.0,3.7,95.7
2014-01-01,哈尔滨市,65.0,-18.3,0.8,129.6
2014-02-01,哈尔滨市,65.0,-15.5,1.2,164.1
2014-03-01,哈尔滨市,58.0,-1.0,1.3,228.7
2014-04-01,哈尔滨市,42.0,10.3,6.1,267.0
2014-05-01,哈尔滨市,66.0,14.3,91.4,127.5
2014-06-01,哈尔滨市,63.0,22.9,56.8,216.8
2014-07-01,哈尔滨市,73.0,23.1,115.5,159.9
2014-08-01,哈尔滨市,74.0,21.9,83.8,208.1
2014-09-01,哈尔滨市,67.0,15.5,32.2,184.4
2014-10-01,哈尔滨市,55.0,6.4,14.1,120.4
2014-11-01,哈尔滨市,54.0,-1.9,1.2,149.5
2014-12-01,哈尔滨市,69.0,-16.9,11.4,99.9
2015-01-01,哈尔滨市,66.0,-15.8,0.8,142.1
2015-02-01,哈尔滨市,67.0,-11.3,14.1,134.8
2015-03-01,哈尔滨市,53.0,-1.3,2.5,209.6
2015-04-01,哈尔滨市,42.0,8.6,6.6,191.0
2015-05-01,哈尔滨市,56.0,14.2,77.6,156.9
2015-06-01,哈尔滨市,63.0,22.1,77.3,226.7
2015-07-01,哈尔滨市,70.0,23.6,52.9,262.9
2015-08-01,哈尔滨市,78.0,22.8,110.5,152.8
2015-09-01,哈尔滨市,70.0,16.2,24.8,209.2
2015-10-01,哈尔滨市,59.0,7.2,30.0,178.3
2015-11-01,哈尔滨市,67.0,-4.9,5.5,111.1
2015-12-01,哈尔滨市,79.0,-14.0,17.5,115.3
2016-01-01,哈尔滨市,71.0,-19.4,2.3,164.1
2016-02-01,哈尔滨市,68.0,-11.8,2.8,181.2
2016-03-01,哈尔滨市,55.0,0.1,10.8,221.3
2016-04-01,哈尔滨市,50.0,8.0,15.2,199.9
2016-05-01,哈尔滨市,60.0,16.0,106.8,203.6
2016-06-01,哈尔滨市,77.0,20.1,206.1,199.7
2016-07-01,哈尔滨市,78.0,24.3,44.2,218.5
2016-08-01,哈尔滨市,74.0,23.2,31.7,254.0
2016-09-01,哈尔滨市,79.0,17.1,70.3,159.1
2016-10-01,哈尔滨市,66.0,4.6,16.8,159.5
2016-11-01,哈尔滨市,75.0,-9.4,28.7,117.0
2016-12-01,哈尔滨市,77.0,-13.4,2.1,102.9
2017-01-01,哈尔滨市,72.0,-16.6,4.4,132.1
2017-02-01,哈尔滨市,68.0,-11.0,5.3,171.8
2017-03-01,哈尔滨市,62.0,-1.7,4.2,208.8
2017-04-01,哈尔滨市,46.0,9.1,2.9,221.7
2017-05-01,哈尔滨市,49.0,16.7,51.8,260.6
2017-06-01,哈尔滨市,68.0,19.9,92.2,218.4
2017-07-01,哈尔滨市,70.0,24.7,50.2,251.5
2017-08-01,哈尔滨市,76.0,22.1,215.2,167.7
2017-09-01,哈尔滨市,70.0,15.0,37.0,200.4
2017-10-01,哈尔滨市,54.0,6.2,5.2,191.1
2017-11-01,哈尔滨市,62.0,-5.7,7.1,124.1
2017-12-01,哈尔滨市,67.0,-17.1,5.3,129.0
2018-01-01,哈尔滨市,67.0,-19.5,6.0,146.9
2018-02-01,哈尔滨市,65.0,-16.3,4.4,159.1
2018-03-01,哈尔滨市,58.0,-3.7,10.4,201.9
2018-04-01,哈尔滨市,46.0,9.0,25.9,186.2
2018-05-01,哈尔滨市,49.0,16.7,12.2,255.2
2018-06-01,哈尔滨市,67.0,21.2,186.4,201.4
2018-07-01,哈尔滨市,80.0,24.9,172.1,156.6
2018-08-01,哈尔滨市,82.0,21.4,121.9,182.7
2018-09-01,哈尔滨市,74.0,15.3,76.7,177.5
2018-10-01,哈尔滨市,62.0,7.8,15.1,194.9
2018-11-01,哈尔滨市,61.0,-2.8,15.8,168.8
2018-12-01,哈尔滨市,58.0,-13.0,4.4,174.0
2019-01-01,哈尔滨市,60.0,-13.3,1.8,148.1
2019-02-01,哈尔滨市,43.0,-9.3,,168.7
2019-03-01,哈尔滨市,46.0,0.1,12.4,225.1
2019-04-01,哈尔滨市,42.0,8.5,12.9,245.2
2019-05-01,哈尔滨市,54.0,15.5,88.3,226.5
2019-06-01,哈尔滨市,68.0,19.8,86.3,234.5
2019-07-01,哈尔滨市,83.0,23.7,161.7,184.5
2019-08-01,哈尔滨市,88.0,20.7,157.2,108.8
2019-09-01,哈尔滨市,70.0,17.0,69.5,277.0
2019-10-01,哈尔滨市,56.0,8.3,7.8,238.8
2019-11-01,哈尔滨市,58.0,-4.9,10.6,213.1
2019-12-01,哈尔滨市,72.0,-15.6,15.0,210.0
2020-01-01,哈尔滨市,74.0,-16.9,3.2,235.3
2020-02-01,哈尔滨市,72.0,-11.4,8.3,243.1
2020-03-01,哈尔滨市,62.0,-1.1,6.9,307.9
2020-04-01,哈尔滨市,48.0,7.5,6.3,324.9
2020-05-01,哈尔滨市,61.0,15.6,77.6,364.0
2020-06-01,哈尔滨市,75.0,19.9,199.8,340.2
2020-07-01,哈尔滨市,78.0,24.4,116.0,387.6
2020-08-01,哈尔滨市,86.0,21.7,146.1,295.4
2020-09-01,哈尔滨市,85.0,16.3,174.1,240.8
2020-10-01,哈尔滨市,64.0,7.2,13.6,243.2
2020-11-01,哈尔滨市,67.0,-3.3,31.0,213.6
2020-12-01,哈尔滨市,68.0,-15.2,0.4,225.4
1996-01-01,海口市,87.0,18.9,6.9,115.3
1996-02-01,海口市,87.0,16.3,62.7,94.0
1996-03-01,海口市,86.0,22.5,43.0,189.8
1996-04-01,海口市,88.0,22.9,47.6,111.8
1996-05-01,海口市,82.0,27.2,78.1,193.4
1996-06-01,海口市,78.0,29.4,41.1,241.6
1996-07-01,海口市,77.0,29.6,85.9,255.7
1996-08-01,海口市,82.0,28.4,148.3,209.5
1996-09-01,海口市,87.0,27.0,782.3,128.1
1996-10-01,海口市,81.0,26.3,29.0,141.2
1996-11-01,海口市,80.0,23.8,58.3,105.5
1996-12-01,海口市,81.0,19.4,22.8,95.3
1997-01-01,海口市,83.0,18.7,14.1,115.7
1997-02-01,海口市,94.0,17.7,137.4,35.4
1997-03-01,海口市,89.0,22.3,147.2,107.6
1997-04-01,海口市,87.0,25.2,220.7,118.6
1997-05-01,海口市,82.0,27.5,251.7,186.7
1997-06-01,海口市,83.0,28.1,290.2,183.1
1997-07-01,海口市,84.0,28.6,193.7,226.4
1997-08-01,海口市,79.0,29.3,270.9,205.6
1997-09-01,海口市,87.0,26.1,462.3,118.9
1997-10-01,海口市,85.0,26.2,155.6,179.8
1997-11-01,海口市,78.0,24.5,0.0,167.6
1997-12-01,海口市,86.0,21.0,47.4,75.9
1998-01-01,海口市,88.0,19.7,17.9,68.0
1998-02-01,海口市,88.0,20.4,27.1,95.3
1998-03-01,海口市,85.0,23.5,18.1,142.0
1998-04-01,海口市,83.0,26.6,69.6,156.8
1998-05-01,海口市,83.0,28.0,129.1,177.6
1998-06-01,海口市,81.0,29.8,181.3,218.2
1998-07-01,海口市,81.0,29.4,196.0,218.2
1998-08-01,海口市,81.0,29.2,512.0,251.1
1998-09-01,海口市,84.0,27.9,155.0,157.3
1998-10-01,海口市,77.0,26.6,206.1,190.5
1998-11-01,海口市,81.0,24.0,33.6,111.7
1998-12-01,海口市,81.0,19.0,21.7,99.6
1999-01-01,海口市,86.0,17.9,35.6,80.0
1999-02-01,海口市,83.0,20.2,1.7,133.0
1999-03-01,海口市,83.0,22.6,30.0,146.0
1999-04-01,海口市,85.0,26.4,121.5,146.0
1999-05-01,海口市,85.0,26.7,144.5,150.0
1999-06-01,海口市,80.0,28.9,272.1,230.0
1999-07-01,海口市,79.0,29.4,142.8,226.0
1999-08-01,海口市,82.0,28.1,206.4,202.0
1999-09-01,海口市,81.0,27.6,46.0,178.0
1999-10-01,海口市,83.0,26.2,162.4,153.0
1999-11-01,海口市,83.0,23.1,34.9,67.0
1999-12-01,海口市,74.0,17.3,98.9,96.0
2000-01-01,海口市,87.0,18.7,16.5,64.9
2000-02-01,海口市,87.0,18.3,23.9,77.4
2000-03-01,海口市,88.0,21.7,45.2,143.0
2000-04-01,海口市,84.0,26.4,121.2,154.9
2000-05-01,海口市,85.0,27.3,263.8,170.4
2000-06-01,海口市,79.0,28.7,87.5,233.7
2000-07-01,海口市,82.0,28.7,319.8,235.2
2000-08-01,海口市,82.0,28.7,245.4,209.5
2000-09-01,海口市,81.0,27.2,189.5,188.7
2000-10-01,海口市,84.0,26.2,770.2,147.7
2000-11-01,海口市,78.0,22.0,38.7,93.0
2000-12-01,海口市,82.0,20.3,42.0,81.6
2001-01-01,海口市,86.0,20.0,16.8,94.6
2001-02-01,海口市,88.0,18.9,53.1,63.8
2001-03-01,海口市,84.0,22.6,44.9,100.1
2001-04-01,海口市,81.0,26.8,6.2,155.1
2001-05-01,海口市,82.0,27.8,185.8,164.9
2001-06-01,海口市,83.0,28.6,384.8,171.1
2001-07-01,海口市,83.0,28.7,445.9,180.5
2001-08-01,海口市,83.0,28.6,496.0,190.8
2001-09-01,海口市,81.0,27.9,262.0,134.4
2001-10-01,海口市,82.0,26.7,128.0,136.0
2001-11-01,海口市,76.0,22.2,90.3,149.7
2001-12-01,海口市,84.0,19.5,133.2,65.9
2002-01-01,海口市,84.0,18.6,7.4,130.0
2002-02-01,海口市,84.0,20.6,0.4,116.0
2002-03-01,海口市,80.0,23.6,86.9,111.0
2002-04-01,海口市,75.0,27.2,2.5,230.0
2002-05-01,海口市,79.0,28.2,27.8,191.0
2002-06-01,海口市,80.0,29.2,135.5,216.0
2002-07-01,海口市,80.0,28.8,347.5,175.0
2002-08-01,海口市,83.0,28.2,406.7,209.0
2002-09-01,海口市,85.0,26.7,369.7,98.0
2002-10-01,海口市,81.0,25.8,126.3,125.0
2002-11-01,海口市,80.0,23.1,34.9,63.0
2002-12-01,海口市,88.0,20.3,55.7,42.0
2003-01-01,海口市,83.0,17.8,30.6,112.0
2003-02-01,海口市,85.0,21.3,4.8,98.0
2003-03-01,海口市,83.0,22.6,38.8,114.0
2003-04-01,海口市,78.0,27.3,34.9,165.0
2003-05-01,海口市,81.0,28.6,149.4,192.0
2003-06-01,海口市,76.0,29.3,98.0,198.0
2003-07-01,海口市,76.0,29.6,248.2,263.0
2003-08-01,海口市,81.0,28.8,234.4,205.0
2003-09-01,海口市,86.0,27.5,467.6,152.0
2003-10-01,海口市,75.0,26.1,21.1,224.0
2003-11-01,海口市,81.0,23.5,92.8,138.0
2003-12-01,海口市,75.0,19.5,0.8,141.0
2004-01-01,海口市,85.0,18.4,11.9,63.5
2004-02-01,海口市,87.0,18.5,75.5,108.5
2004-03-01,海口市,83.0,22.2,11.0,88.1
2004-04-01,海口市,82.0,25.5,66.2,164.6
2004-05-01,海口市,81.0,27.7,215.9,220.1
2004-06-01,海口市,78.0,29.2,100.6,256.2
2004-07-01,海口市,79.0,29.1,191.6,217.1
2004-08-01,海口市,80.0,29.1,189.0,243.8
2004-09-01,海口市,81.0,27.7,78.2,193.8
2004-10-01,海口市,71.0,25.3,13.2,210.5
2004-11-01,海口市,78.0,23.4,8.1,157.6
2004-12-01,海口市,77.0,20.7,22.4,145.5
2005-01-01,海口市,78.0,19.0,8.4,88.4
2005-02-01,海口市,84.0,20.3,8.6,103.6
2005-03-01,海口市,83.0,20.1,22.7,104.2
2005-04-01,海口市,80.0,25.4,56.7,138.6
2005-05-01,海口市,75.0,29.4,159.4,232.0
2005-06-01,海口市,78.0,29.4,279.4,165.3
2005-07-01,海口市,76.0,29.4,148.3,228.4
2005-08-01,海口市,79.0,28.7,231.0,225.5
2005-09-01,海口市,80.0,28.3,212.2,180.5
2005-10-01,海口市,74.0,27.0,22.2,180.4
2005-11-01,海口市,77.0,24.6,17.3,132.9
2005-12-01,海口市,73.0,19.1,20.8,60.7
2006-01-01,海口市,82.0,18.5,6.3,94.5
2006-02-01,海口市,87.0,20.5,54.9,80.8
2006-03-01,海口市,83.0,21.8,50.1,92.7
2006-04-01,海口市,76.0,26.7,44.3,179.4
2006-05-01,海口市,72.0,28.3,155.6,211.1
2006-06-01,海口市,77.0,29.4,547.5,196.8
2006-07-01,海口市,73.0,30.0,157.0,213.4
2006-08-01,海口市,80.0,28.5,199.9,163.4
2006-09-01,海口市,76.0,27.4,79.0,148.3
2006-10-01,海口市,76.0,27.1,50.0,213.0
2006-11-01,海口市,77.0,25.3,185.5,163.1
2006-12-01,海口市,73.0,20.8,17.6,92.3
2007-01-01,海口市,82.0,17.0,25.4,70.3
2007-02-01,海口市,83.0,21.1,4.7,138.9
2007-03-01,海口市,83.0,23.2,30.6,116.9
2007-04-01,海口市,82.0,23.4,64.9,98.4
2007-05-01,海口市,80.0,26.7,162.6,156.7
2007-06-01,海口市,78.0,28.5,90.0,225.4
2007-07-01,海口市,76.0,28.8,144.5,275.6
2007-08-01,海口市,84.0,27.0,281.7,164.0
2007-09-01,海口市,80.0,26.8,233.3,129.6
2007-10-01,海口市,80.0,25.0,359.7,93.3
2007-11-01,海口市,71.0,21.2,18.6,110.0
2007-12-01,海口市,81.0,20.5,3.3,90.0
2008-01-01,海口市,81.0,16.9,35.5,100.7
2008-02-01,海口市,82.0,13.3,27.7,16.0
2008-03-01,海口市,82.0,20.9,13.6,130.6
2008-04-01,海口市,79.0,25.3,53.9,150.8
2008-05-01,海口市,78.0,26.6,193.3,205.4
2008-06-01,海口市,79.0,27.4,227.3,156.7
2008-07-01,海口市,77.0,28.0,164.7,233.5
2008-08-01,海口市,78.0,27.6,346.7,206.7
2008-09-01,海口市,78.0,27.4,337.5,179.5
2008-10-01,海口市,84.0,25.8,901.2,101.4
2008-11-01,海口市,73.0,22.7,20.9,118.0
2008-12-01,海口市,77.0,19.2,68.9,107.2
2009-01-01,海口市,77.0,16.1,3.7,112.5
2009-02-01,海口市,82.0,22.5,15.0,167.3
2009-03-01,海口市,85.0,22.7,215.2,112.9
2009-04-01,海口市,86.0,24.1,211.6,73.7
2009-05-01,海口市,82.0,26.2,245.3,192.7
2009-06-01,海口市,80.0,28.3,244.3,225.8
2009-07-01,海口市,81.0,28.3,242.4,223.2
2009-08-01,海口市,81.0,28.1,427.2,217.4
2009-09-01,海口市,82.0,27.9,566.5,174.6
2009-10-01,海口市,81.0,25.8,443.5,127.4
2009-11-01,海口市,76.0,21.5,5.9,117.7
2009-12-01,海口市,82.0,19.8,7.6,115.9
2010-01-01,海口市,90.0,19.1,52.0,48.4
2010-02-01,海口市,84.0,21.2,22.1,122.3
2010-03-01,海口市,75.0,22.8,7.5,144.3
2010-04-01,海口市,81.0,25.2,60.9,123.6
2010-05-01,海口市,77.0,28.5,136.9,208.6
2010-06-01,海口市,78.0,28.9,113.1,193.1
2010-07-01,海口市,78.0,28.9,219.3,247.2
2010-08-01,海口市,86.0,27.0,424.5,195.4
2010-09-01,海口市,81.0,27.5,109.3,188.0
2010-10-01,海口市,81.0,24.5,1212.9,107.2
2010-11-01,海口市,79.0,21.9,64.9,91.6
2010-12-01,海口市,78.0,19.5,21.7,153.6
2011-01-01,海口市,81.0,14.3,15.8,9.7
2011-02-01,海口市,87.0,18.0,28.2,78.9
2011-03-01,海口市,85.0,17.7,44.9,31.0
2011-04-01,海口市,83.0,23.4,15.2,112.5
2011-05-01,海口市,77.0,26.9,126.2,173.2
2011-06-01,海口市,79.0,28.3,336.8,193.8
2011-07-01,海口市,81.0,28.5,175.1,214.3
2011-08-01,海口市,82.0,28.3,70.4,239.2
2011-09-01,海口市,82.0,27.5,307.2,146.3
2011-10-01,海口市,82.0,25.4,745.8,131.9
2011-11-01,海口市,81.0,23.2,97.2,87.6
2011-12-01,海口市,74.0,18.0,39.3,67.8
2012-01-01,海口市,89.0,16.4,55.0,26.0
2012-02-01,海口市,94.0,17.8,23.0,38.9
2012-03-01,海口市,84.0,22.1,17.2,118.0
2012-04-01,海口市,81.0,26.6,232.4,181.3
2012-05-01,海口市,81.0,28.3,324.6,221.4
2012-06-01,海口市,80.0,28.4,422.1,123.1
2012-07-01,海口市,78.0,28.5,324.1,245.9
2012-08-01,海口市,80.0,28.1,203.4,219.4
2012-09-01,海口市,78.0,27.6,285.4,215.2
2012-10-01,海口市,74.0,26.1,142.4,203.7
2012-11-01,海口市,81.0,24.5,40.5,117.0
2012-12-01,海口市,83.0,20.6,24.2,56.5
2013-01-01,海口市,82.0,18.2,6.4,47.1
2013-02-01,海口市,85.0,21.2,18.7,69.3
2013-03-01,海口市,78.0,23.8,50.6,131.0
2013-04-01,海口市,81.0,25.1,140.0,112.5
2013-05-01,海口市,83.0,27.8,248.3,199.5
2013-06-01,海口市,80.0,28.3,121.3,232.1
2013-07-01,海口市,84.0,27.8,273.0,215.9
2013-08-01,海口市,84.0,27.9,231.2,200.9
2013-09-01,海口市,87.0,27.0,448.6,120.5
2013-10-01,海口市,78.0,25.3,263.8,173.1
2013-11-01,海口市,83.0,22.8,149.3,74.3
2013-12-01,海口市,75.0,16.9,115.8,149.5
2014-01-01,海口市,79.0,17.7,,196.8
2014-02-01,海口市,87.0,18.1,30.5,90.8
2014-03-01,海口市,87.0,22.6,23.4,114.2
2014-04-01,海口市,86.0,25.9,73.9,118.5
2014-05-01,海口市,80.0,28.8,247.9,246.5
2014-06-01,海口市,79.0,29.3,116.7,242.2
2014-07-01,海口市,82.0,28.8,599.8,258.3
2014-08-01,海口市,81.0,28.5,171.7,234.6
2014-09-01,海口市,83.0,27.9,353.9,234.4
2014-10-01,海口市,78.0,26.3,154.7,204.3
2014-11-01,海口市,85.0,24.1,26.7,114.4
2014-12-01,海口市,84.0,17.9,62.1,57.0
2015-01-01,海口市,83.0,17.8,23.3,177.0
2015-02-01,海口市,85.0,20.4,2.2,115.8
2015-03-01,海口市,83.0,24.0,8.4,153.1
2015-04-01,海口市,79.0,25.1,86.8,214.9
2015-05-01,海口市,79.0,29.2,210.1,269.3
2015-06-01,海口市,76.0,29.9,85.7,300.9
2015-07-01,海口市,77.0,28.8,321.8,215.1
2015-08-01,海口市,80.0,29.0,72.9,284.4
2015-09-01,海口市,82.0,28.4,394.7,233.8
2015-10-01,海口市,83.0,25.8,259.1,184.8
2015-11-01,海口市,83.0,25.4,118.9,180.2
2015-12-01,海口市,86.0,20.2,89.3,77.4
2016-01-01,海口市,90.0,18.1,125.4,27.4
2016-02-01,海口市,83.0,16.3,28.1,113.4
2016-03-01,海口市,85.0,20.5,41.7,154.1
2016-04-01,海口市,79.0,26.8,75.0,212.1
2016-05-01,海口市,79.0,28.4,145.1,239.7
2016-06-01,海口市,79.0,29.3,180.7,276.9
2016-07-01,海口市,79.0,29.3,154.2,285.3
2016-08-01,海口市,84.0,28.2,607.6,206.5
2016-09-01,海口市,82.0,27.9,92.7,183.7
2016-10-01,海口市,83.0,26.8,352.5,171.0
2016-11-01,海口市,85.0,23.2,93.4,115.7
2016-12-01,海口市,78.0,20.9,17.3,98.5
2017-01-01,海口市,88.0,19.7,31.0,82.5
2017-02-01,海口市,85.0,18.5,34.4,91.3
2017-03-01,海口市,84.0,23.2,35.0,153.1
2017-04-01,海口市,80.0,25.3,92.1,197.2
2017-05-01,海口市,82.0,27.5,289.2,202.3
2017-06-01,海口市,78.0,29.5,163.1,249.4
2017-07-01,海口市,85.0,27.9,415.8,194.3
2017-08-01,海口市,82.0,28.7,313.2,232.0
2017-09-01,海口市,81.0,28.6,95.0,248.6
2017-10-01,海口市,79.0,25.5,330.9,180.6
2017-11-01,海口市,85.0,22.2,196.5,71.6
2017-12-01,海口市,77.0,19.0,13.2,91.1
2018-01-01,海口市,87.0,17.6,38.2,75.2
2018-02-01,海口市,81.0,17.2,11.5,88.6
2018-03-01,海口市,80.0,22.2,27.0,237.0
2018-04-01,海口市,81.0,24.5,121.8,186.9
2018-05-01,海口市,78.0,28.7,154.6,299.0
2018-06-01,海口市,81.0,28.6,610.9,196.8
2018-07-01,海口市,83.0,28.2,235.2,192.1
2018-08-01,海口市,86.0,27.6,574.0,154.2
2018-09-01,海口市,83.0,27.5,239.1,204.4
2018-10-01,海口市,77.0,25.9,44.3,219.6
2018-11-01,海口市,82.0,24.2,51.1,107.8
